2018-10-04 15:31:03,355 | WARN  | Transport Connection to: tcp://127.0.0.1:55051 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55051@61616
2018-10-04 15:31:45,157 | WARN  | Transport Connection to: tcp://127.0.0.1:61302 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61302@61616
2018-10-04 15:33:08,845 | WARN  | Transport Connection to: tcp://127.0.0.1:55123 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55123@61616
2018-10-04 15:33:08,846 | WARN  | Transport Connection to: tcp://127.0.0.1:55130 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55130@61616
2018-10-04 15:33:08,846 | WARN  | Transport Connection to: tcp://127.0.0.1:55128 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55128@61616
2018-10-04 15:33:08,846 | WARN  | Transport Connection to: tcp://127.0.0.1:55129 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55129@61616
2018-10-04 15:33:08,846 | WARN  | Transport Connection to: tcp://127.0.0.1:55127 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55127@61616
2018-10-04 15:33:08,846 | WARN  | Transport Connection to: tcp://127.0.0.1:55126 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55126@61616
2018-10-04 15:33:08,846 | WARN  | Transport Connection to: tcp://127.0.0.1:55125 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55125@61616
2018-10-04 15:33:08,845 | WARN  | Transport Connection to: tcp://127.0.0.1:55124 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55124@61616
2018-10-04 15:33:08,845 | WARN  | Transport Connection to: tcp://127.0.0.1:55121 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55121@61616
2018-10-04 15:33:08,845 | WARN  | Transport Connection to: tcp://127.0.0.1:55122 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55122@61616
2018-10-04 15:33:27,348 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6eebc39e: startup date [Thu Oct 04 15:33:27 WEST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-10-04 15:33:28,005 | INFO  | PListStore:[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-10-04 15:33:28,020 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:33:28,724 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:33:28,755 | INFO  | Recovering from the journal @1:4224408 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:33:28,802 | INFO  | Recovery replayed 132 operations from the journal in 0.047 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:33:28,989 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-55136-1538663608833-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:33:29,098 | INFO  | Listening for connections at: tcp://127.0.0.1:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:33:29,098 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:33:29,114 | INFO  | Listening for connections at: amqp://127.0.0.1:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:33:29,114 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
